"Common/ButtonExit","ZAVŘÍT"
"LoadingScreen/Battle/28","Are you going to commandeer that ship? Nautical term."
"LoadingScreen/Battle/29","We could use a ship…"
"LoadingScreen/Battle/30","It was a good plan… up ‘til now…"
"LoadingScreen/Battle/31","So, this is the path you’ve chosen…"
"LoadingScreen/Battle/32","They know you are here…"
"LoadingScreen/Battle/33","Yes, I’m… I’m a bit nervous myself…"
"LoadingScreen/Battle/34","You don't want to be doing that, mate."
"LoadingScreen/Battle/35","Dead men tell no tales"
"LoadingScreen/Battle/36","What's in your head, Captain"
"LoadingScreen/Battle/37","Take what ye can!"
"LoadingScreen/Battle/38","We know those cannons"
"LoadingScreen/Battle/39","Placing ships alongside that of the enemy…"
"LoadingScreen/Battle/40","Are you nervous?"
"LoadingScreen/Battle/41","You both have been here before"
"LoadingScreen/Battle/42","Accommodation is quite good on that ship, hardly any rats."
"LoadingScreen/Battle/43","It was the ship of dreams to everyone else…"
"LoadingScreen/Battle/44","So this is the ship they say is unsinkable…"
"LoadingScreen/Battle/45","Typical…"
"LoadingScreen/Battle/46","He’s a good swimmer."
"LoadingScreen/Battle/47","It looks like you will get your headlines after all.."
"LoadingScreen/Battle/48","He was making excellent time.. Until now"
"LoadingScreen/Battle/49","You’re gonna need a bigger boat…"
"LoadingScreen/Battle/50","We think this is the beginning of a beautiful friendship…"
"LoadingScreen/Battle/51","He always wanted to be a pirate…"
"LoadingScreen/Battle/52","He used to be an adventurer like you…"
"LoadingScreen/Battle/53","What's the most you ever lost on a coin toss?"
"LoadingScreen/Battle/54","Have you heard? That man who shot you – died in prison…"
"LoadingScreen/OpenWorld/0","Half powder is now 49,999% more half…"
"LoadingScreen/OpenWorld/1","The Wind will always be with you.."
"LoadingScreen/OpenWorld/2","Připevňování vousů pirátům…"
"LoadingScreen/OpenWorld/3","Walking the longest plank…"
"LoadingScreen/OpenWorld/4","Losing the sight of the shore…."
"LoadingScreen/OpenWorld/5","Sanding the beaches…"
"LoadingScreen/OpenWorld/6","Loading shrimp…"
"LoadingScreen/OpenWorld/7","Leštění velryb…"
"LoadingScreen/OpenWorld/8","Potápění Atlantidy…"
"LoadingScreen/OpenWorld/9","Hledání ostrova pokladů…"
"LoadingScreen/OpenWorld/10","Creating new bugs…"
"LoadingScreen/OpenWorld/11","Washing blood from decks…"
"LoadingScreen/OpenWorld/12","Soon…"
"LoadingScreen/OpenWorld/13","Connecting balls with chains…"
"LoadingScreen/OpenWorld/14","Getting lost in the fog…"
"LoadingScreen/OpenWorld/15","Searching for birth certificates…"
"LoadingScreen/OpenWorld/16","Fertilizing plantations…"
"LoadingScreen/OpenWorld/17","Shampooing herring…"
"LoadingScreen/OpenWorld/18","Splicing the ropes…"
"LoadingScreen/OpenWorld/19","Raking the sterns…."
"LoadingScreen/OpenWorld/20","There are no secret islands, or perhaps…"
"LoadingScreen/OpenWorld/21","Hiding the dead man’s chest…"
"LoadingScreen/OpenWorld/22","Burying treasure…"
"LoadingScreen/OpenWorld/23","Hanging the mutineers…"
"LoadingScreen/OpenWorld/24","That ship really tied the dock together.."
"LoadingScreen/OpenWorld/25","Finding the purpose in Port Royal…"
"LoadingScreen/OpenWorld/26","Searching for survivors…"
"LoadingScreen/OpenWorld/27","Quenching the thirst…"
"LoadingScreen/OpenWorld/28","How the blazes did you get off that island?"
"LoadingScreen/OpenWorld/29","Bringing you that horizon…"
"LoadingScreen/OpenWorld/30","You need to find yourself a girl, mate…"
"LoadingScreen/OpenWorld/31","Making wrong decisions…"
"LoadingScreen/OpenWorld/32","Roping a couple of sea turtles…"
"LoadingScreen/OpenWorld/33","You did not tell them about the curse…"
"LoadingScreen/OpenWorld/34","Welcome to the Caribbean…"
"LoadingScreen/OpenWorld/35","You need some tea…."
"LoadingScreen/OpenWorld/36","You need some rum…"
"LoadingScreen/OpenWorld/37","Hanging the treasure…"
"LoadingScreen/OpenWorld/38","Preparing walking planks…"
"LoadingScreen/OpenWorld/39","Coinciding traits…"
"LoadingScreen/OpenWorldPort/0","Half powder is now 49,999% more half…"
"LoadingScreen/OpenWorldPort/1","The Wind will always be with you.."
"LoadingScreen/OpenWorldPort/2","Attaching beards to pirates…"
"LoadingScreen/OpenWorldPort/3","Walking the longest plank…"
"LoadingScreen/OpenWorldPort/4","Losing the sight of the shore…."
"LoadingScreen/OpenWorldPort/5","Sanding the beaches…"
"LoadingScreen/OpenWorldPort/6","Loading shrimp…"
"LoadingScreen/OpenWorldPort/7","Polishing whales…"
"LoadingScreen/OpenWorldPort/8","Sinking Atlantis…"
"LoadingScreen/OpenWorldPort/9","Hledání ostrova pokladů…"
"LoadingScreen/OpenWorldPort/10","Creating new bugs…"
"LoadingScreen/OpenWorldPort/11","Washing blood from decks…"
"LoadingScreen/OpenWorldPort/12","Soon…"
"LoadingScreen/OpenWorldPort/13","Connecting balls with chains…"
"LoadingScreen/OpenWorldPort/14","Getting lost in the fog…"
"LoadingScreen/OpenWorldPort/15","Searching for birth certificates…"
"LoadingScreen/OpenWorldPort/16","Fertilizing plantations…"
"LoadingScreen/OpenWorldPort/17","Shampooing herring…"
"LoadingScreen/OpenWorldPort/18","Splicing the ropes…"
"LoadingScreen/OpenWorldPort/19","Raking the sterns…."
"LoadingScreen/OpenWorldPort/20","There are no secret islands, or perhaps…"
"LoadingScreen/OpenWorldPort/21","Hiding the dead man’s chest…"
"LoadingScreen/OpenWorldPort/22","Burying treasure…"
"LoadingScreen/OpenWorldPort/23","Hanging the mutineers…"
"LoadingScreen/OpenWorldPort/24","That ship really tied the dock together.."
"LoadingScreen/OpenWorldPort/25","Finding the purpose in Port Royal…"
"LoadingScreen/OpenWorldPort/26","Searching for survivors…"
"LoadingScreen/OpenWorldPort/27","Quenching the thirst…"
"LoadingScreen/OpenWorldPort/28","How the blazes did you get off that island?"
"LoadingScreen/OpenWorldPort/29","Bringing you that horizon…"
"LoadingScreen/OpenWorldPort/30","You need to find yourself a girl, mate…"
"LoadingScreen/OpenWorldPort/31","Making wrong decisions…"
"LoadingScreen/OpenWorldPort/32","Roping a couple of sea turtles…"
"LoadingScreen/OpenWorldPort/33","You did not tell them about the curse…"
"LoadingScreen/OpenWorldPort/34","Welcome to the Caribbean…"
"LoadingScreen/OpenWorldPort/35","You need some tea…."
"LoadingScreen/OpenWorldPort/36","You need some rum…"
"LoadingScreen/OpenWorldPort/37","Hanging the treasure…"
"LoadingScreen/OpenWorldPort/38","Preparing walking planks…"
"LoadingScreen/OpenWorldPort/39","Coinciding traits…"
"LoadingScreen/Title/EnteringPort","Připlouváme do přístavu"
"LoadingScreen/Title/EnteringOW","Vyplouváme na moře"
"LoadingScreen/Title/EnteringCombat","Boj začíná"
"ConvertibleItem/Description/559","Angelfish is a conspicuous resident of the reef. The larger species are also quite bold and seemingly fearless"
"ConvertibleItem/Description/560","Barracudas are voracious predators and hunt using ambushes. They rely on surprise and short bursts of speed to overrun their prey, sacrificing maneuverability. They also exhibit some scavenger-like feeding habits."
"ConvertibleItem/Description/561","Bluefishes are fast swimmers which prey on schools of forage fish, and continue attacking them in feeding frenzies even after they appear to have eaten their fill. They are cannibalistic and can destroy their own young."
"ConvertibleItem/Description/562","The cutlassfishes are predatory fishes whose highly carnivorous adults regularly cannibalise younger specimens. They are long, slender, and generally steely blue or silver in colour, giving rise to their name."
"ConvertibleItem/Description/563","Dorado are carnivorous, feeding on flying fish, crabs, squid, mackerel, and other forage fish. Out of the water, the fish often change color (giving rise to their Spanish name, dorado, ""golden"")."
"ConvertibleItem/Description/564","Drum teeth are rounded and they have powerful jaws capable of crushing oysters and other shellfish. They have the ability to produce a ""croaking"" sound which is used by males as a mating call."
"ConvertibleItem/Description/565","Having a keen sense of smell, eels depend on scent to find food. The American eel diet is extremely diverse and includes most of the aquatic animals sharing the same environment."
"ConvertibleItem/Description/566","Flying fish can make powerful, self-propelled leaps out of water into air, where their long, wing-like fins enable gliding flight for considerable distances above the water's surface."
"ConvertibleItem/Description/567","Because of its large size and velocity in case of danger, the oceanic manta ray do not have many enemies. Only fast sharks can try to bite a piece of its wings before it disappears."
"ConvertibleItem/Description/568","Members of this species are known to be protogynous hermaphrodites"
"ConvertibleItem/Description/569","Herring has been a staple food from 3000 BC. Herring live cooperatively in groups or schools around fishing banks and near the coast."
"ConvertibleItem/Description/570","Jacks remove skin-based parasites by rubbing against the rough skin of passing sharks. They are prey species for larger fish, such as billfish and sharks, as well as seabirds."
"ConvertibleItem/Description/571","Lizardfish have slender, somewhat cylindrical bodies, and heads that resemble those of lizards."
"ConvertibleItem/Description/572","Mackerel typically have vertical stripes on their backs and deeply forked tails. Mackerels will defend themselves against perceived threats by biting. The flesh of mackerel spoils quickly, especially in the tropics, and can cause poisoning."
"ConvertibleItem/Description/573","Marlin are billfish with a body structure designed for fast swimming with a long streamline appearance. They will socialize with other apex predators in order to increase the efficiency of foraging."
"ConvertibleItem/Description/574","Needlefishes have a long, narrow beak, which bears multiple sharp teeth. They are capable of making short jumps out of the water and can represent an even greater risk of injury than sharks in shallow boats."
"ConvertibleItem/Description/575","Parrotfish are named for their dentition. Their numerous teeth are arranged in a tightly packed mosaic on the external surface of their jaw bones, forming a parrot-like beak with which they rasp algae."
"ConvertibleItem/Description/405","Pompanos are very fast swimmers and live in schools. They have very short teeth and feed on zoobenthos and small clams."
"ConvertibleItem/Description/406","The flounder is a flatfish that swims on its side. One eye migrates to another side during fish growth stage. The side to which the eye migrates depends on the species."
"ConvertibleItem/Description/576","The name ""bull shark"" comes from the shark's stocky shape, broad, flat snout, and aggressive, unpredictable behavior."
"ConvertibleItem/Description/577","The shortfin mako shark is the fastest species of shark. Some cases of shortfin mako jumping into a boat after having been hooked have been reported."
"ConvertibleItem/Description/578","The positioning of the eyes, mounted on the sides of the shark's distinctive hammer head enable them to see above and below at all times."
"ConvertibleItem/Description/579","Snappers are very highly regarded as food fish and demand a premium price."
"ConvertibleItem/Description/407","Its name is derived from the presence of a hard, bony plate along the dorsal fin. Hardhead catfish are voracious eaters and will bite on almost any natural bait. Hardhead catfish are also known to steal bait."
"ConvertibleItem/Description/408","An active and agile predator, the tuna has a sleek, streamlined body, and is among the fastest-swimming pelagic fish. Tuna can maintain a body temperature higher than that of the surrounding water"
"ConvertibleItem/Description/973","Can provide one of the rare skins from the selection. Content is not final and will be expanded over time."
"Slot/RUDDER","Kormidlo"
"Slot/SAIL","Plachty"
"Slot/MAST","Stěžeň"
"Slot/ARMOR_FRONT","Přední pancíř"
"Slot/ARMOR_LEFT","Levý pancíř"
"Slot/ARMOR_RIGHT","Pravý pancíř"
"Slot/ARMOR_BACK","Zadní pancíř"
"Slot/DECK_CENTRAL","Moždířová paluba"
"Slot/WATER_PUMP","Vodní pumpa"
"Slot/CREW","Posádka"
"Slot/DECK_ALL","Všechny paluby"
"Slot/ARMOR_ALL_SIDES","Všechen pancíř"
"Slot/INTERNAL_STRUCTURE","Struktura lodi"
"Slot/REPAIR_ARMOR","Oprava pancíře"
"Slot/REPAIR_SAIL","Oprava plachet"
"Slot/REPAIR_CREW","Obnovení posádky"
"Attribute/MODULE_BASE_HP","HPčka"
"Attribute/SHIP_PHYSICS_ACC_COEF","Zrychlení"
"Attribute/SHIP_PHYSICS_DEC_COEF","Zpomalení"
"Attribute/SHIP_MAX_SPEED","Nejvyšší rychlost"
"Attribute/SHIP_MAX_ROLL_ANGLE","Náklon"
"Attribute/SHIP_TURNING_SPEED","Rychlost otáčení"
"Attribute/SHIP_TURNING_SPEED_RHEAS","Síla ráhen"
"Attribute/SHIP_STRUCTURE_LEAKS_PER_SECOND","Průsak za sekundu"
"Attribute/CANNON_MASS","Váha děla"
"Attribute/CANNON_MIN_ANGLE","Posun děla dolů"
"Attribute/CANNON_MAX_ANGLE","Posun děla nahoru"
"Attribute/CANNON_DISPERSION_PER100M","Vodorovný rozptyl děla"
"Attribute/CANNON_DISPERSION_VERTICAL_PER100M","Vertikální rozptyl děla"
"Attribute/CANNON_DISPERSION_REDUCTION_SPEED","Rychlost zaměřování"
"Attribute/CANNON_RELOAD_TIME","Doba nabití děla"
"Attribute/CANNON_BASIC_DAMAGE","Poškození děla"
"Attribute/CANNON_BASIC_PENETRATION","Průraznost děla"
"Attribute/CANNON_CREW_REQUIRED","Posátka děla"
"Attribute/CANNON_BALL_ARMOR_SPLINTERS_DAMAGE_FOR_CREW","Poškození střepinami"
"Attribute/FIREZONE_MAX_HORIZONTAL_ANGLE","Největší _traverse_ děla"
"Attribute/SAILING_CREW_REQUIRED","Posádka na plachtách"
"Attribute/SAIL_RISING_SPEED","Rychlost nastavení plachet"
"Attribute/MAST_BOTTOM_SECTION_HP","Spodní část stěžně"
"Attribute/MAST_MIDDLE_SECTION_HP","Střední část stěžně"
"Attribute/MAST_TOP_SECTION_HP","Horní část stěžně"
"Attribute/RHEA_TURN_SPEED","Rychlost otáčení ráhen"
"Attribute/MAST_PHYSICS_MAIN_SAIL_FORCE_BONUS","Výkon čtvercových plachet"
"Attribute/MAST_PHYSICS_SPANKER_SAIL_FORCE_BONUS","Výkon _spanker_ plachet"
"Attribute/MAST_PHYSICS_JIB_SAIL_FORCE_BONUS","Výkon kosých plachet"
"Attribute/RUDDER_HALFTURN_TIME","Doba otočení kormidla"
"Attribute/WATER_PUMP_BAILING","Opuštění vodních pump"
"Attribute/PUMP_REQUIRED_CREW","Posádka pump"
"Attribute/CREW_DAMAGE_RECEIVED_DECREASE_PERCENT","Odolnost vůči střepinám"
"Attribute/FIRE_PROBABILITY","Pravděpodobnost ohně"
"Attribute/FIRE_DECREASE_RATE","Hašení ohně"
"Attribute/FIRE_INCREASE_RATE","Rychlose šíření ohně"
"Attribute/POWDER_RADIUS","Síla exploze"
"Attribute/SHIP_REPAIR_SAIL_CREW_REQUIREMENT","Posádka pro opravu plachet"
"Attribute/SHIP_REPAIR_ARMOR_CREW_REQUIREMENT","Posádka pro opravu pancíře"
"Attribute/HOLE_DECREASE_RATE","Oprava děr"
"Attribute/REPAIR_PERCENT","Množství opravy"
"Attribute/REPAIR_MODULE_TIME","Doba opravy"
"Attribute/ARMOR_REAR_HP","Zadní pancíř"
"Attribute/ARMOR_FRONT_HP","Přední pancíř"
"Attribute/ARMOR_LEFT_HP","Levý pancíř"
"Attribute/ARMOR_RIGHT_HP","Pravý pancíř"
"Attribute/ARMOR_THICKNESS","Tloušťka pancíře"
"Attribute/MAST_THICKNESS","Tloušťka stěžně"
"Attribute/SHIP_CANNON_DESTROY_PROBABILITY","Pravděpodobnost ztráty děla"
"Attribute/SHIP_EXTRA_CHAIN_UNITS","Extra řetězová koule"
"Attribute/SHIP_EXTRA_DOUBLE_SHOT_UNITS","Extra dvojitá koule"
"Attribute/SHIP_EXTRA_DOBULE_CHARGE_UNITS","Extra střelý prach"
"Attribute/CREW_TRANSFER_SPEED","Převod posádky za vteřinu"
"Attribute/MARINES_PERCENTAGE","Procento vojáků"
"Attribute/MARINES_FIREPOWER_MODIFIER","Palebná síla vojáků"
"Attribute/MARINES_MELEE_MODIFIER","Útok vojáků na blízko"
"Attribute/MUSKETS_PERCENTAGE_OF_CREW","% mušket v posádce"
"Attribute/MUSKETS_PERCENTAGE_OF_MARINES","% mušket u vojáků"
"Attribute/BARRICADES_MELEE_BONUS","Za barikádou na blízko"
"Attribute/BARRICADES_FIREPOWER_BONUS","Za barikádou proti mušketám"
"Attribute/GRENADES_BONUS","Granáty"
"Attribute/HANDBOOK_MORALE_BONUS","Morálka"
"Attribute/HANDBOOK_DEFENSE_BONUS","Obrana na blízko"
"Attribute/HANDBOOK_ATTACK_BONUS","Útok na blízko"
"Attribute/MUSKETS_ACCURACY_BONUS","Přesnost mušket"
"Attribute/DECK_GUNS_ACCURACY_BONUS","Přesnost kanónů při obsazování"
"Attribute/BOARDING_DEFENSE_BONUS","Obrana na blízko"
"Attribute/BOARDING_ATTACK_BONUS","Útok na blízko"
"Attribute/LADDERS_MELEE_PENALTY_REDUCE","Zmenšení postihu za výšku lodi"
"Attribute/AXES_ATTACK_BONUS","Útok na blízko"
"Attribute/GROG_ATTACK_BONUS","Útok na blízko"
"Attribute/GROG_MORALE_BONUS","Morálka"
"Attribute/GROG_ACCURACY_PENALTY","Postih na přesnost mušket"
"Attribute/PREPARATION_BONUS_PER_ROUND","Bonus za přípravu obsazení_"
"Attribute/AXES_DISENGAGE_DURATION","Čas odpoutání_"
"Attribute/PERK_ENABLE_DOUBLE_SHOT","Umožňuje použití dvojitých koulí"
"Attribute/PERK_ENABLE_DOUBLE_CHARGE","Umožňuje použití dvojitého střelného prachu"
"Attribute/PERK_BOARDING_ENEMY_EXTRA_CREW_REQUIREMENT","Rozdíl posádky pro obsazení_"
"Attribute/PERK_BOARDING_DEFEND_COST_MODIFIER","Cena obranného příkazu"
"Attribute/PERK_START_ALL_GUNS_LOADED","Loď začíná se všemi děly nabitými"
"Attribute/PERK_MORTAR_RELOAD_TIME_MODIFIER","Nabíjení moždíř"
"Attribute/PERK_MORTAR_DISPERSION_MODIFIER","Přesnost moždíře"
"Attribute/PERK_MORTAR_BALL_COUNT_MODIFIER","Počet koulí pro moždíř"
"Attribute/PERK_CONTROL_EXIT_TIMER_OVERRIDE_DISTANCE","Není možné opustit bitvu _"
"Attribute/PERK_PUMP_WATER_BAILING_MODIFIER","Pumpování"
"Attribute/PERK_CARRONADE_DISPERSION_MODIFIER","Přesnost karonády"
"Attribute/PERK_HEEL_DEGREES_MODIFIER","Náklon"
"Attribute/PERK_SAIL_DAMAGE_MODIFIER","Odolnost plachet"
"Attribute/PERK_SAIL_REPAIR_PERCENT_MODIFIER","Množství opravy plachet"
"Attribute/PERK_HULL_REPAIR_PERCENT_MODIFIER","Množství opravy bednění"
"Attribute/PERK_EMERGENCY_REPAIR_COOLDOWN_MODIFIER","Obnova urgentních oprav"
"Attribute/PERK_LABOR_HOURS_GENERATION_MODIFIER","Pracovních hodin denně"
"Attribute/PERK_LABOR_HOURS_WALLET_MODIFIER","Rezerva práce"
"Attribute/PERK_CRAFT_SHIP_LABOR_PRICE_MODIFIER","Pracovní hodiny stavby všech lodí"
"Attribute/PERK_CRAFT_LINE_SHIP_LABOR_PRICE_MODIFIER","Pracovní hodiny stavby řadových lodí (1-3)"
"Attribute/PERK_CRAFT_FRIGATE_SHIP_LABOR_PRICE_MODIFIER","Pracovní hodiny stavby fregat (4-5)"
"Attribute/PERK_CRAFT_LIGHT_SHIP_LABOR_PRICE_MODIFIER","Pracovní hodiny stavby lehkých lodí (6-7)"
"Attribute/PERK_CRAFT_CREW_HIRE_COST_MODIFIER","Cena posádky"
"Attribute/PERK_FISHING_DROP_CHANCE_MODIFIER","Efektivita rybaření"
"Attribute/PERK_MAX_FLEET_SIZE_MODIFIER","Velikost flotily"
"Attribute/PERK_HOLD_MAX_WEIGHT_MODIFIER","Kapacita nákladového prostoru"
"Attribute/PERK_SOLD_SHIP_PRICE_MODIFIER","Cena nákupu lodí v přístavu"
"AdminMessage/Title","Zpráva administrátora"
"AdminMessage/ServerShuttingDown","Server je vypínán.."
"AdminMessage/Maintenance","Servery budou vypnuty kvuli údržbě za {0} minut(u). Předpokládaná doba vypnutí_ je {1} minuta(y). **Please finish your battles and close application for correct data save on servers. Don't try login during maintenance. You can look up servers status in Shards selection game window."
"AdminMessage/ServerShuttingDownFinnaly","Servery jsou vypínány kvuli údržbě. Předpokládaná doba vypnutí_ je {0} minuta(y). _You can look up servers status in Shards selection game window."
"Menu/Button/Continue","Pokračovat"
"Menu/Button/Surrender","Vzdát se"
"Menu/Button/LeaveBattle","Opustit bitvu"
"Menu/Button/Options","Nastavení"
"Menu/Button/Tutorial","Tutoriál"
"Menu/Button/ExitGame","Vypnout hru"
"Menu/Options/Button/General","Obecné"
"Menu/Options/Button/Social","Sociální_"
"Menu/Options/Button/Controls","Ovládání"
"Menu/Options/Button/Graphics","Grafika"
"Menu/Options/Button/Sound","Zvuk"
"Menu/Options/Button/Back","Zpět"
"Menu/Options/Title","Nastavení"
"Menu/Options/General/Title","Obecné"
"Menu/Options/General/Language","Jazyk"
"Menu/Options/Social/Title","Sociální_"
"Menu/Options/Social/EnableCommunicationsWithEnemy","Povolit veškerou komunikaci s nepřátelskými národy"
"Menu/Options/Social/ShowInfoInOW","Otevřený svět: zobrazit FPS, ping a počet hráčů online"
"Menu/Options/Controls/Title","Ovládání"
"Menu/Options/Controls/ResetButton","Původní nastavení"
"Menu/Options/Graphics/Title","Grafika"
"Menu/Options/Graphics/Quality","Kvalita"
"Menu/Options/Graphics/Quality/Off","Vypnuto"
"Menu/Options/Graphics/Quality/Normal","Normální"
"Menu/Options/Graphics/Quality/Low","Nízké"
"Menu/Options/Graphics/Quality/Medium","Střední"
"Menu/Options/Graphics/Quality/High","Vysoké"
"Menu/Options/Graphics/Quality/Ultra","Ultra"
"Menu/Options/Graphics/Quality/Maximum","Maximální"
"Menu/Options/Graphics/Quality/Custom","Upravené"
"Menu/Options/Graphics/Resolution","Rozlišení"
"Menu/Options/Graphics/FullscreenMode","Režim celé obrazovky"
"Menu/Options/Graphics/VSync","Vertikální synchronizace"
"Menu/Options/Graphics/ShadowQuality","Kvalita stínů"
